A,,,,Proposed category,Subcategory(If applied),PureURL
"IS_DOUBLE , IS_REAL","Returns TRUE if its VARIANT argument contains a floating-point number, fixed-point number, or integer value.",Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_double-real
IS_GRANTED_TO_INVOKER_ROLE,Returns TRUE if the role returned by the INVOKER_ROLE function inherits the privileges of the specified role in the argument based on the context in which the function is called.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/is_granted_to_invoker_role
IS_INSTANCE_ROLE_IN_SESSION,Verifies whether the user’s active primary or secondary role hierarchy for the session inherits the specified instance role.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/is_instance_role_in_session
IS_INTEGER,Returns TRUE if its VARIANT argument contains an integer value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_integer
IS_NULL_VALUE,Returns TRUE if its VARIANT argument is a JSON null value.,"Conditional expression functions , Semi-structured and structured data functions",,semi-structured,json,https://docs.snowflake.com/en/sql-reference/functions/is_null_value
IS_OBJECT,Returns TRUE if its VARIANT argument contains an OBJECT value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_object
IS_ROLE_IN_SESSION,Verifies whether the account role is in the user’s active primary or secondary role hierarchy for the session or if the specified column contains a role that is in the user’s active primary or secondary role hierarchy for the session.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/is_role_in_session
IS_TIME,Verifies whether a VARIANT argument contains a TIME value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_time
IS_TIMESTAMP_*,Verifies whether a VARIANT argument contains the respective timestamp value.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/is_timestamp
J,,,,,,
JAROWINKLER_SIMILARITY,Computes the Jaro-Winkler similarity between two input strings.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/jarowinkler_similarity
JSON_EXTRACT_PATH_TEXT,Parses the first argument as a JSON string and returns the value of the element pointed to by the path in the second argument.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/json_extract_path_text
K,,,,,,
KURTOSIS,Returns the population excess kurtosis of non-NULL records.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/kurtosis
L,,,,,,
LAG,Accesses data in a previous row in the same result set without having to join the table to itself.,Window function syntax and usage,,window,,https://docs.snowflake.com/en/sql-reference/functions/lag
LAST_DAY,Returns the last day of the specified date part for a date or timestamp.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/last_day
LAST_QUERY_ID,Returns the ID of a specified query in the current session.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/last_query_id
LAST_SUCCESSFUL_SCHEDULED_TIME,"Returns the timestamp representing the scheduled time for the most recent successful evaluation of the alert condition, where no errors occurred when executing the action.",Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/last_successful_scheduled_time
LAST_TRANSACTION,Returns the transaction ID of the last transaction that was either committed or rolled back in the current session.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/last_transaction
LAST_VALUE,Returns the last value within an ordered group of values.,Window function syntax and usage,,window,,https://docs.snowflake.com/en/sql-reference/functions/last_value
LEAD,Accesses data in a subsequent row in the same result set without having to join the table to itself.,Window function syntax and usage,,window,,https://docs.snowflake.com/en/sql-reference/functions/lead
LEAST,Returns the smallest value from a list of expressions.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/least
LEAST_IGNORE_NULLS,Returns the smallest non-NULL value from a list of expressions.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/least_ignore_nulls
LEFT,Returns a leftmost substring of its input.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/left
"LENGTH, LEN",Returns the length of an input string or binary value.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/length
[ NOT ] LIKE,Performs a case-sensitive comparison to determine whether a string matches or does not match a specified pattern.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/like
LIKE ALL,Performs a case-sensitive comparison to match a string against all of one or more specified patterns.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/like_all
LIKE ANY,Performs a case-sensitive comparison to match a string against any of one or more specified patterns.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/like_any
LISTAGG,"Returns the concatenated input values, separated by the delimiter string.","Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/listagg
LISTING_REFRESH_HISTORY,Returns the past 14 days of refresh history for a cross-cloud auto-fulfillment listing.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/listing_refresh_history
LN,Returns the natural logarithm of a numeric expression.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/ln
LOCALTIME,Returns the current time for the system.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/localtime
LOCALTIMESTAMP,Returns the current timestamp for the system in the local time zone.,Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/localtimestamp
LOG,Returns the logarithm of a numeric expression.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/log
"LOGIN_HISTORY , LOGIN_HISTORY_BY_USER",The LOGIN_HISTORY family of table functions can be used to query login attempts by Snowflake users along various dimensions.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/login_history
LOWER,Returns the input string with all characters converted to lowercase.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/lower
LPAD,"Left-pads a string with characters from another string, or left-pads a binary value with bytes from another binary value.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/lpad
LTRIM,"Removes leading characters, including whitespace, from a string.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/ltrim
M,,,,,,
MAP_CAT,Returns the concatenatation of two MAPs.,Semi-structured and structured data functions,,semi-structured,map,https://docs.snowflake.com/en/sql-reference/functions/map_cat
MAP_CONTAINS_KEY,Determines whether the specified MAP contains the specified key.,Semi-structured and structured data functions,,semi-structured,map,https://docs.snowflake.com/en/sql-reference/functions/map_contains_key
MAP_DELETE,Returns a MAP based on an existing MAP with one or more keys removed..,Semi-structured and structured data functions,,semi-structured,map,https://docs.snowflake.com/en/sql-reference/functions/map_delete
MAP_INSERT,Returns a new MAP consisting of the input MAP with a new key-value pair inserted (an existing key updated with a new value).,Semi-structured and structured data functions,,semi-structured,map,https://docs.snowflake.com/en/sql-reference/functions/map_insert
MAP_KEYS,Returns the keys in a MAP.,Semi-structured and structured data functions,,semi-structured,map,https://docs.snowflake.com/en/sql-reference/functions/map_keys
MAP_PICK,Returns a new MAP containing the specified key-value pairs from an existing MAP.,Semi-structured and structured data functions,,semi-structured,map,https://docs.snowflake.com/en/sql-reference/functions/map_pick
MAP_SIZE,Returns the size of a MAP.,Semi-structured and structured data functions,,semi-structured,map,https://docs.snowflake.com/en/sql-reference/functions/map_size
MATERIALIZED_VIEW_REFRESH_HISTORY,This table function is used for querying the materialized views refresh history for a specified materialized view within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/materialized_view_refresh_history
MAX,Returns the maximum value for the records within expr.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/max
MAX_BY,Finds the row(s) containing the maximum value for a column and returns the value of another column in that row.,Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/max_by
"MD5 , MD5_HEX",Returns a 32-character hex-encoded string containing the 128-bit MD5 message digest.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/md5
MD5_BINARY,Returns a 16-byte BINARY value containing the 128-bit MD5 message digest.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/md5_binary
MD5_NUMBER — Obsoleted,Returns the 128-bit MD5 message digest interpreted as a signed 128-bit big endian number.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/md5_number
MD5_NUMBER_LOWER64,"Calculates the 128-bit MD5 message digest, interprets it as a signed 128-bit big endian number, and returns the lower 64 bits of the number as an unsigned integer.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/md5_number_lower64
MD5_NUMBER_UPPER64,"Calculates the 128-bit MD5 message digest, interprets it as a signed 128-bit big endian number, and returns the upper 64 bits of the number as an unsigned integer.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/md5_number_upper64
MEDIAN,Determines the median of a set of values.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/median
MIN,Returns the minimum value for the records within expr.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/min
MIN_BY,Finds the row(s) containing the minimum value for a column and returns the value of another column in that row.,Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/min_by
MINHASH,Returns a MinHash state containing an array of size k constructed by applying k number of different hash functions to the input rows and keeping the minimum of each hash function.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/minhash
MINHASH_COMBINE,Combines input MinHash states into a single MinHash output state.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/minhash_combine
MOD,Returns the remainder of input expr1 divided by input expr2.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/mod
MODE,Returns the most frequent value for the values within expr1.,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/mode
MONTHNAME,Extracts the three-letter month name from the specified date or timestamp.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/monthname
MONTHS_BETWEEN,Returns the number of months between two DATE or TIMESTAMP values.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/months_between
N,,,,,,
NETWORK_RULE_REFERENCES,Returns a row for each object with which the specified network rule is associated or returns a row for each network rule associated with the specified container.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/network_rule_references
NEXT_DAY,Returns the date of the first specified DOW (day of week) that occurs after the input date.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/next_day
NORMAL,Generates a normally-distributed pseudo-random floating point number with specified mean and stddev (standard deviation).,Data generation functions,,generation,,https://docs.snowflake.com/en/sql-reference/functions/normal
NOTIFICATION_HISTORY,This table function can be used to query the history of notifications sent through Snowflake.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/notification_history
NTH_VALUE,Returns the nth value (up to 1000) within an ordered group of values.,Window function syntax and usage,,window,,https://docs.snowflake.com/en/sql-reference/functions/nth_value
NTILE,Divides an ordered data set equally into the number of buckets specified by constant_value.,Window function syntax and usage,,window,,https://docs.snowflake.com/en/sql-reference/functions/ntile
NULLIF,"Returns NULL if expr1 is equal to expr2, otherwise returns expr1.",Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/nullif
NULLIFZERO,"Returns NULL if the argument evaluates to 0; otherwise, returns the argument.",Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/nullifzero
NVL,"If expr1 is NULL, returns expr2, otherwise returns expr1.",Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/nvl
NVL2,Returns values depending on whether the first input is NULL.,Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/nvl2
O,,,,,,
OBJECT_AGG,Returns one OBJECT per group.,"Aggregate functions , Window functions , Semi-structured and structured data functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/object_agg
OBJECT_CONSTRUCT,Returns an OBJECT constructed from the arguments.,Semi-structured and structured data functions,,semi-structured,object,https://docs.snowflake.com/en/sql-reference/functions/object_construct
OBJECT_CONSTRUCT_KEEP_NULL,Returns an OBJECT constructed from the arguments that retains key-values pairs with NULL values.,Semi-structured and structured data functions,,semi-structured,object,https://docs.snowflake.com/en/sql-reference/functions/object_construct_keep_null
OBJECT_DELETE,"Returns an object containing the contents of the input (that is, source) object with one or more keys removed.",Semi-structured and structured data functions,,semi-structured,object,https://docs.snowflake.com/en/sql-reference/functions/object_delete
OBJECT_INSERT,Returns an OBJECT value consisting of the input OBJECT value with a new key-value pair inserted (or an existing key updated with a new value).,Semi-structured and structured data functions,,semi-structured,object,https://docs.snowflake.com/en/sql-reference/functions/object_insert
OBJECT_KEYS,Returns an array containing the list of keys in the top-most level of the input object.,Semi-structured and structured data functions,,semi-structured,object,https://docs.snowflake.com/en/sql-reference/functions/object_keys
OBJECT_PICK,Returns a new OBJECT containing some of the key-value pairs from an existing object.,Semi-structured and structured data functions,,semi-structured,object,https://docs.snowflake.com/en/sql-reference/functions/object_pick
OCTET_LENGTH,Returns the length of a string or binary value in bytes.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/octet_length
P,,,,,,
PARSE_DOCUMENT (SNOWFLAKE.CORTEX),Returns the extracted content from a document on a Snowflake stage as an OBJECT that contains JSON-encoded objects as strings.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/parse_document-snowflake-cortex
PARSE_IP,Returns a JSON object consisting of all the components from a valid INET (Internet Protocol) or CIDR (Classless Internet Domain Routing) IPv4 or IPv6 string.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/parse_ip
PARSE_JSON,"Interprets an input string as a JSON document, producing a VARIANT value.",Semi-structured and structured data functions,,semi-structured,json,https://docs.snowflake.com/en/sql-reference/functions/parse_json
PARSE_URL,"Returns a JSON object consisting of all the components (fragment, host, path, port, query, scheme) in a valid input URL/URI.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/parse_url
PARSE_XML,"Interprets an input string as an XML document, producing an OBJECT value.",Semi-structured and structured data functions,,semi-structured,xml,https://docs.snowflake.com/en/sql-reference/functions/parse_xml
PERCENT_RANK,"Returns the relative rank of a value within a group of values, specified as a percentage ranging from 0.0 to 1.0.",Window functions,,window,,https://docs.snowflake.com/en/sql-reference/functions/percent_rank
PERCENTILE_CONT,Return a percentile value based on a continuous distribution of the input column (specified in order_by_expr).,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/percentile_cont
PERCENTILE_DISC,Returns a percentile value based on a discrete distribution of the input column (specified in order_by_expr).,"Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/percentile_disc
PI,Returns the value of pi as a floating-point value.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/pi
PIPE_USAGE_HISTORY,This table function can be used to query the history of data loaded into Snowflake tables using Snowpipe within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/pipe_usage_history
POLICY_CONTEXT,"Simulates the results of a query based upon the value of one or more context functions, which lets you determine how policies affect query results.",Context functions,,context,,https://docs.snowflake.com/en/sql-reference/functions/policy_context
POLICY_REFERENCES,Returns a row for each object that has the specified policy assigned to the object or returns a row for each policy assigned to the specified object.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/policy_references
POSITION,"Searches for the first occurrence of the first argument in the second argument and, if successful, returns the position (1-based) of the first argument in the second argument.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/position
"POW, POWER",Returns a number (x) raised to the specified power (y).,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/pow
PREVIOUS_DAY,Returns the date of the first specified DOW (day of week) that occurs before the input date.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/previous_day
Q,,,,,,
QUERY_ACCELERATION_HISTORY,The QUERY_ACCELERATION_HISTORY function is used for querying the query acceleration service history within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/query_acceleration_history
"QUERY_HISTORY , QUERY_HISTORY_BY_*",The QUERY_HISTORY family of table functions can be used to query Snowflake query history along various dimensions.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/query_history
R,,,,,,
RADIANS,Converts degrees to radians.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/radians
RANDOM,Each call returns a pseudo-random 64-bit integer.,Data generation functions,,generation,,https://docs.snowflake.com/en/sql-reference/functions/random
RANDSTR,Returns a random string of specified length.,Data generation functions,,generation,,https://docs.snowflake.com/en/sql-reference/functions/randstr
RANK,Returns the rank of a value within an ordered group of values.,Window functions,,window,,https://docs.snowflake.com/en/sql-reference/functions/rank
RATIO_TO_REPORT,Returns the ratio of a value within a group to the sum of the values within the group.,Window functions,,window,,https://docs.snowflake.com/en/sql-reference/functions/ratio_to_report
REDUCE,Reduces an array to a single value based on the logic in a lambda expression.,Semi-structured and structured data functions,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/reduce
[ NOT ] REGEXP,Performs a comparison to determine whether a string matches or does not match a specified pattern.,String functions (regular expressions),,string_binary,regex,https://docs.snowflake.com/en/sql-reference/functions/regexp
REGEXP_COUNT,Returns the number of times that a pattern occurs in a string.,String functions (regular expressions),,string_binary,regex,https://docs.snowflake.com/en/sql-reference/functions/regexp_count
REGEXP_INSTR,Returns the position of the specified occurrence of the regular expression pattern in the string subject.,String functions (regular expressions),,string_binary,regex,https://docs.snowflake.com/en/sql-reference/functions/regexp_instr
REGEXP_LIKE,Performs a comparison to determine whether a string matches a specified pattern.,String functions (regular expressions),,string_binary,regex,https://docs.snowflake.com/en/sql-reference/functions/regexp_like
REGEXP_REPLACE,Returns the subject with the specified pattern (or all occurrences of the pattern) either removed or replaced by a replacement string.,String functions (regular expressions),,string_binary,regex,https://docs.snowflake.com/en/sql-reference/functions/regexp_replace
REGEXP_SUBSTR,Returns the substring that matches a regular expression within a string.,String functions (regular expressions),,string_binary,regex,https://docs.snowflake.com/en/sql-reference/functions/regexp_substr
REGEXP_SUBSTR_ALL,Returns an ARRAY that contains all substrings that match a regular expression within a string.,String functions (regular expressions),,string_binary,regex,https://docs.snowflake.com/en/sql-reference/functions/regexp_substr_all
REGR_AVGX,"Returns the average of the independent variable for non-null pairs in a group, where x is the independent variable and y is the dependent variable.","Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/regr_avgx
REGR_AVGY,"Returns the average of the dependent variable for non-null pairs in a group, where x is the independent variable and y is the dependent variable.","Aggregate functions , Window functions",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/regr_avgy
REGR_COUNT,Returns the number of non-null number pairs in a group.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/regr_count
REGR_INTERCEPT,Returns the intercept of the univariate linear regression line for non-null pairs in a group.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/regr_intercept
REGR_R2,Returns the coefficient of determination for non-null pairs in a group.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/regr_r2
REGR_SLOPE,Returns the slope of the linear regression line for non-null pairs in a group.,"Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/regr_slope
REGR_SXX,"Returns REGR_COUNT(y, x) * VAR_POP(x) for non-null pairs.","Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/regr_sxx
REGR_SXY,"Returns REGR_COUNT(expr1, expr2) * COVAR_POP(expr1, expr2) for non-null pairs.","Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/regr_sxy
REGR_SYY,"Returns REGR_COUNT(y, x) * VAR_POP(y) for non-null pairs.","Aggregate functions , Window function syntax and usage",,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/regr_syy
REGR_VALX,"Returns NULL if the first argument is NULL; otherwise, returns the second argument.",Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/regr_valx
REGR_VALY,"Returns NULL if the second argument is NULL; otherwise, returns the first argument.",Conditional expression functions,,conditional,,https://docs.snowflake.com/en/sql-reference/functions/regr_valy
REPEAT,Builds a string by repeating the input for the specified number of times.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/repeat
REPLACE,"Removes all occurrences of a specified substring, and optionally replaces them with another substring.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/replace
REPLICATION_GROUP_REFRESH_HISTORY,Returns the replication history for a secondary replication or failover group within the last 14 days.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/replication_group_refresh_history
"REPLICATION_GROUP_REFRESH_PROGRESS, REPLICATION_GROUP_REFRESH_PROGRESS_BY_JOB",The REPLICATION_GROUP_REFRESH_PROGRESS family of functions can be used to query the status of a replication or failover group refresh.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/replication_group_refresh_progress
REPLICATION_GROUP_USAGE_HISTORY,Returns the replication usage history for secondary replication or failover groups within the last 14 days.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/replication_group_usage_history
REPLICATION_USAGE_HISTORY,This table function can be used to query the replication history for a specified database within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/replication_usage_history
REST_EVENT_HISTORY,Returns a list of SCIM REST API requests made to Snowflake over a specified time interval.,Table functions,,table,,https://docs.snowflake.com/en/sql-reference/functions/rest_event_history
RESULT_SCAN,Returns the result set of a previous command (within 24 hours of when you executed the query) as if the result was a table.,Table functions,,table,,https://docs.snowflake.com/en/sql-reference/functions/result_scan
REVERSE,"Reverses the order of characters in a string, or of bytes in a binary value.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/reverse
RIGHT,Returns a rightmost substring of its input.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/right
[ NOT ] RLIKE,Performs a comparison to determine whether a string matches or does not match a specified pattern.,String functions (regular expressions),,string_binary,regex,https://docs.snowflake.com/en/sql-reference/functions/rlike
ROUND,Returns rounded values for input_expr.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/round
ROW_NUMBER,Returns a unique row number for each row within a window partition.,Window function syntax and usage,,window,,https://docs.snowflake.com/en/sql-reference/functions/row_number
RPAD,"Right-pads a string with characters from another string, or right-pads a binary value with bytes from another binary value.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/rpad
RTRIM,"Removes trailing characters, including whitespace, from a string.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/rtrim
RTRIMMED_LENGTH,"Returns the length of its argument, minus trailing whitespace, but including leading whitespace.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/rtrimmed_length
S,,,,,,
SANITIZE_WEBHOOK_CONTENT,"Removes placeholders (for example, the SNOWFLAKE_WEBHOOK_SECRET placeholder, which specifies a secret) from the body of a notification message to be sent.",Notification functions,,notification,,https://docs.snowflake.com/en/sql-reference/functions/sanitize_webhook_content
SCHEDULED_TIME,Returns the timestamp representing the scheduled time of the current alert.,Date & time functions,,datetime,,https://docs.snowflake.com/en/sql-reference/functions/scheduled_time
SEARCH,"Searches character data (text) in specified columns from one or more tables, including fields in VARIANT, OBJECT, and ARRAY columns.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/search
SEARCH_IP,"Searches for valid IPv4 addresses in specified character-string columns from one or more tables, including fields in VARIANT, OBJECT, and ARRAY columns.",,,semi-structured,,https://docs.snowflake.com/en/sql-reference/functions/search_ip
SEARCH_OPTIMIZATION_HISTORY,This table function is used for querying the search optimization service maintenance history for a specified table within a specified date range.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/search_optimization_history
SEARCH_PREVIEW (SNOWFLAKE.CORTEX),"Given a Cortex Search service name, and a query, returns a response from the specified service.",String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/search_preview-snowflake-cortex
SENTIMENT (SNOWFLAKE.CORTEX),Returns a sentiment score for the given English-language input text.,String & binary functions,,string_binary,llm,https://docs.snowflake.com/en/sql-reference/functions/sentiment-snowflake-cortex
SEQ1 / SEQ2 / SEQ4 / SEQ8,"Returns a sequence of monotonically increasing integers, with wrap-around.",Data generation functions,,generation,,https://docs.snowflake.com/en/sql-reference/functions/seq1
SERVERLESS_ALERT_HISTORY,This table function is used for querying the serverless alert usage history.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/serverless_alert_history
SERVERLESS_TASK_HISTORY,This table function is used for querying the serverless task usage history.,"Information Schema , Table functions",,information_schema,,https://docs.snowflake.com/en/sql-reference/functions/serverless_task_history
"SHA1 , SHA1_HEX",Returns a 40-character hex-encoded string containing the 160-bit SHA-1 message digest.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/sha1
SHA1_BINARY,Returns a 20-byte binary containing the 160-bit SHA-1 message digest.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/sha1_binary
"SHA2 , SHA2_HEX","Returns a hex-encoded string containing the N-bit SHA-2 message digest, where N is the specified output digest size.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/sha2
SHA2_BINARY,"Returns a binary containing the N-bit SHA-2 message digest, where N is the specified output digest size.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/sha2_binary
SHOW_PYTHON_PACKAGES_DEPENDENCIES,Returns a list of the dependencies and their versions for the Python packages that were specified.,System functions,,system,,https://docs.snowflake.com/en/sql-reference/functions/show_python_packages_dependencies
SIGN,Returns the sign of its argument.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/sign
SIN,Computes the sine of its argument; the argument should be expressed in radians.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/sin
SINH,Computes the hyperbolic sine of its argument.,Numeric functions,,numeric,,https://docs.snowflake.com/en/sql-reference/functions/sinh
SKEW,Returns the sample skewness of non-NULL records.,Aggregate functions,,aggregate,,https://docs.snowflake.com/en/sql-reference/functions/skew
SOUNDEX,Returns a string that contains a phonetic representation of the input string.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/soundex
SOUNDEX_P123,"Returns a string that contains a phonetic representation of the input string, and retains the Soundex code number for the second letter when the first and second letters use the same number.",String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/soundex_p123
SPACE,Builds a string consisting of the specified number of blank spaces.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/space
SPLIT,Splits a given string with a given separator and returns the result in an array of strings.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/split
SPLIT_PART,Splits a given string at a specified character and returns the requested part.,String & binary functions,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/split_part
SPLIT_TEXT_RECURSIVE_CHARACTER (SNOWFLAKE.CORTEX),"The SPLIT_TEXT_RECURSIVE_CHARACTER function splits a string into shorter stings, recursively, for preprocessing text to be used with text embedding or search indexing functions.",,,string_binary,,https://docs.snowflake.com/en/sql-reference/functions/split_text_recursive_character-snowflake-cortex
SPLIT_TO_TABLE,This table function splits a string (based on a specified delimiter) and flattens the results into rows.,"String & binary functions , Table functions",,table,string,https://docs.snowflake.com/en/sql-reference/functions/split_to_table
